Регион,Количество,"Процент, %",ID,postal-code
Пензенская область,12,15.0,PZ,PZ
Москва,8,10.0,MS,MS
Краснодарский край,6,7.5,KD,KD
Московская область,5,6.25,MO,MO
Калужская область,5,6.25,KG,KG
Кемеровская область,5,6.25,KE,KE
Пермский край,4,5.0,PE,PE
Липецкая область,4,5.0,LP,LP
Республика Татарстан,3,3.75,TT,TT
Новосибирская область,3,3.75,NS,NS
Свердловская область,2,2.5,SV,SV
Самарская область,2,2.5,SA,SA
Саратовская область,2,2.5,SR,SR
Волгоградская область,2,2.5,VG,VG
Санкт-Петербург,2,2.5,SP,SP
Белгородская область,2,2.5,BL,BL
Тамбовская область,1,1.25,TB,TB
Тверская область,1,1.25,TV,TV
Республика Хакасия,1,1.25,KK,KK
Красноярский край,1,1.25,KY,KY
Хабаровский край,1,1.25,KH,KH
Тюменская область,1,1.25,TY,TY
Мурманская область,1,1.25,MM,MM
Сахалинская область,1,1.25,SL,SL
Амурская область,1,1.25,AM,AM
Омская область,1,1.25,OM,OM
Донецкая Народная Республика,1,1.25,DT,DT
Иркутская область,1,1.25,IR,IR
Алтайский край,1,1.25,AL,AL
